Word_Unique_ID	Text_ID	Word_Number	Sentence_Number	Word_In_Sentence_Number	FullSentence_DocLevelMarked	FullSentence_DocLevel	FullSentence_SentLevelMarked	FullSentence_SentLevel
QID14	1	15	1	15	There are now rumblings that Apple might soon invade the smart watch space, though *the*	There are now rumblings that Apple might soon invade the smart watch space, though the	There are now rumblings that Apple might soon invade the smart watch space, though *the*	There are now rumblings that Apple might soon invade the smart watch space, though the
QID15	1	16	1	16	There are now rumblings that Apple might soon invade the smart watch space, though the *company*	There are now rumblings that Apple might soon invade the smart watch space, though the company	There are now rumblings that Apple might soon invade the smart watch space, though the *company*	There are now rumblings that Apple might soon invade the smart watch space, though the company
QID16	1	17	1	17	There are now rumblings that Apple might soon invade the smart watch space, though the company *is*	There are now rumblings that Apple might soon invade the smart watch space, though the company is	There are now rumblings that Apple might soon invade the smart watch space, though the company *is*	There are now rumblings that Apple might soon invade the smart watch space, though the company is
QID17	1	18	1	18	There are now rumblings that Apple might soon invade the smart watch space, though the company is *maintaining*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining	There are now rumblings that Apple might soon invade the smart watch space, though the company is *maintaining*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining
QID18	1	19	1	19	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining *its*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining *its*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its
QID19	1	20	1	20	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its *customary*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its *customary*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary
QID20	1	21	1	21	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary *silence.*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary *silence.*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.
QID21	1	22	2	1	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. *The*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The	*The*	The
QID22	1	23	2	2	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The *watch*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch	The *watch*	The watch
QID23	1	24	2	3	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch *doesn't*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't	The watch *doesn't*	The watch doesn't
QID24	1	25	2	4	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't *have*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have	The watch doesn't *have*	The watch doesn't have
QID25	1	26	2	5	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have *a*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a	The watch doesn't have *a*	The watch doesn't have a
QID26	1	27	2	6	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a *microphone*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone	The watch doesn't have a *microphone*	The watch doesn't have a microphone
QID27	1	28	2	7	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone *or*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or	The watch doesn't have a microphone *or*	The watch doesn't have a microphone or
QID28	1	29	2	8	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or *speaker,*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker,	The watch doesn't have a microphone or *speaker,*	The watch doesn't have a microphone or speaker,
QID29	1	30	2	9	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, *but*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but	The watch doesn't have a microphone or speaker, *but*	The watch doesn't have a microphone or speaker, but
QID30	1	31	2	10	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but *you*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you	The watch doesn't have a microphone or speaker, but *you*	The watch doesn't have a microphone or speaker, but you
QID31	1	32	2	11	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you *can*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can	The watch doesn't have a microphone or speaker, but you *can*	The watch doesn't have a microphone or speaker, but you can
QID32	1	33	2	12	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can *use*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use	The watch doesn't have a microphone or speaker, but you can *use*	The watch doesn't have a microphone or speaker, but you can use
QID33	1	34	2	13	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use *it*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it	The watch doesn't have a microphone or speaker, but you can use *it*	The watch doesn't have a microphone or speaker, but you can use it
QID34	1	35	2	14	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it *to*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to	The watch doesn't have a microphone or speaker, but you can use it *to*	The watch doesn't have a microphone or speaker, but you can use it to
QID35	1	36	2	15	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to *control*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control	The watch doesn't have a microphone or speaker, but you can use it to *control*	The watch doesn't have a microphone or speaker, but you can use it to control
QID36	1	37	2	16	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control *the*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the	The watch doesn't have a microphone or speaker, but you can use it to control *the*	The watch doesn't have a microphone or speaker, but you can use it to control the
QID37	1	38	2	17	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the *music*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music	The watch doesn't have a microphone or speaker, but you can use it to control the *music*	The watch doesn't have a microphone or speaker, but you can use it to control the music
QID38	1	39	2	18	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music *on*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on	The watch doesn't have a microphone or speaker, but you can use it to control the music *on*	The watch doesn't have a microphone or speaker, but you can use it to control the music on
QID39	1	40	2	19	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on *your*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your	The watch doesn't have a microphone or speaker, but you can use it to control the music on *your*	The watch doesn't have a microphone or speaker, but you can use it to control the music on your
QID40	1	41	2	20	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your *phone.*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone.	The watch doesn't have a microphone or speaker, but you can use it to control the music on your *phone.*	The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone.
QID41	1	42	3	1	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. *You*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You	*You*	You
QID42	1	43	3	2	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You *can*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can	You *can*	You can
QID43	1	44	3	3	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can *glance*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance	You can *glance*	You can glance
QID44	1	45	3	4	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance *at*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at	You can glance *at*	You can glance at
QID45	1	46	3	5	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at *the*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the	You can glance at *the*	You can glance at the
QID46	1	47	3	6	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the *watch*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch	You can glance at the *watch*	You can glance at the watch
QID47	1	48	3	7	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch *face*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face	You can glance at the watch *face*	You can glance at the watch face
QID48	1	49	3	8	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face *to*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to	You can glance at the watch face *to*	You can glance at the watch face to
QID49	1	50	3	9	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to *view*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view	You can glance at the watch face to *view*	You can glance at the watch face to view
QID50	1	51	3	10	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view *the*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the	You can glance at the watch face to view *the*	You can glance at the watch face to view the
QID51	1	52	3	11	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the *artist*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist	You can glance at the watch face to view the *artist*	You can glance at the watch face to view the artist
QID52	1	53	3	12	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist *and*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and	You can glance at the watch face to view the artist *and*	You can glance at the watch face to view the artist and
QID53	1	54	3	13	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and *title*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title	You can glance at the watch face to view the artist and *title*	You can glance at the watch face to view the artist and title
QID54	1	55	3	14	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title *of*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of	You can glance at the watch face to view the artist and title *of*	You can glance at the watch face to view the artist and title of
QID55	1	56	3	15	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of *a*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a	You can glance at the watch face to view the artist and title of *a*	You can glance at the watch face to view the artist and title of a
QID56	1	57	3	16	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a *song.*	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song.	You can glance at the watch face to view the artist and title of a *song.*	You can glance at the watch face to view the artist and title of a song.
QID58	2	2	1	2	Two *days*	Two days	Two *days*	Two days
QID59	2	3	1	3	Two days *later,*	Two days later,	Two days *later,*	Two days later,
QID60	2	4	1	4	Two days later, *the*	Two days later, the	Two days later, *the*	Two days later, the
QID61	2	5	1	5	Two days later, the *British*	Two days later, the British	Two days later, the *British*	Two days later, the British
QID62	2	6	1	6	Two days later, the British *astronomer*	Two days later, the British astronomer	Two days later, the British *astronomer*	Two days later, the British astronomer
QID63	2	7	1	7	Two days later, the British astronomer *Richard*	Two days later, the British astronomer Richard	Two days later, the British astronomer *Richard*	Two days later, the British astronomer Richard
QID64	2	8	1	8	Two days later, the British astronomer Richard *Carrington*	Two days later, the British astronomer Richard Carrington	Two days later, the British astronomer Richard *Carrington*	Two days later, the British astronomer Richard Carrington
QID65	2	9	1	9	Two days later, the British astronomer Richard Carrington *was*	Two days later, the British astronomer Richard Carrington was	Two days later, the British astronomer Richard Carrington *was*	Two days later, the British astronomer Richard Carrington was
QID66	2	10	1	10	Two days later, the British astronomer Richard Carrington was *observing*	Two days later, the British astronomer Richard Carrington was observing	Two days later, the British astronomer Richard Carrington was *observing*	Two days later, the British astronomer Richard Carrington was observing
QID67	2	11	1	11	Two days later, the British astronomer Richard Carrington was observing *the*	Two days later, the British astronomer Richard Carrington was observing the	Two days later, the British astronomer Richard Carrington was observing *the*	Two days later, the British astronomer Richard Carrington was observing the
QID68	2	12	1	12	Two days later, the British astronomer Richard Carrington was observing the *interesting*	Two days later, the British astronomer Richard Carrington was observing the interesting	Two days later, the British astronomer Richard Carrington was observing the *interesting*	Two days later, the British astronomer Richard Carrington was observing the interesting
QID69	2	13	1	13	Two days later, the British astronomer Richard Carrington was observing the interesting *sunspot*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot	Two days later, the British astronomer Richard Carrington was observing the interesting *sunspot*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot
QID70	2	14	1	14	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot *group*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot *group*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group
QID71	2	15	1	15	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group *through*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group *through*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through
QID72	2	16	1	16	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through *his*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through *his*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his
QID73	2	17	1	17	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his *telescope*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his *telescope*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope
QID74	2	18	1	18	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope *when*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope *when*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when
QID75	2	19	1	19	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when *he*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when *he*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he
QID76	2	20	1	20	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he *saw*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he *saw*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw
QID77	2	21	1	21	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw *what*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw *what*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what
QID78	2	22	1	22	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what *he*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what *he*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he
QID79	2	23	1	23	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he *described*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he *described*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described
QID80	2	24	1	24	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described *as*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described *as*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as
QID81	2	25	1	25	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as *"two*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as *"two*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two
QID82	2	26	1	26	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two *patches*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two patches	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two *patches*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two patches
QID83	2	27	1	27	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two patches *of*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two patches of	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two patches *of*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two patches of
QID84	2	28	1	28	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two patches of *intensely*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two patches of intensely	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two patches of *intensely*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two patches of intensely
QID85	2	29	1	29	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two patches of intensely *bright*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two patches of intensely bright	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two patches of intensely *bright*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two patches of intensely bright
QID86	2	30	1	30	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two patches of intensely bright *and*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two patches of intensely bright and	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two patches of intensely bright *and*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two patches of intensely bright and
QID87	2	31	1	31	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two patches of intensely bright and *white*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two patches of intensely bright and white	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two patches of intensely bright and *white*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two patches of intensely bright and white
QID88	2	32	1	32	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two patches of intensely bright and white *light"*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two patches of intensely bright and white light"	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two patches of intensely bright and white *light"*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two patches of intensely bright and white light"
QID89	2	33	1	33	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two patches of intensely bright and white light" *over*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two patches of intensely bright and white light" over	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two patches of intensely bright and white light" *over*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two patches of intensely bright and white light" over
QID90	2	34	1	34	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two patches of intensely bright and white light" over *the*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two patches of intensely bright and white light" over the	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two patches of intensely bright and white light" over *the*	Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as "two patches of intensely bright and white light" over the
